product_name,size,category
A2 Gir Cow Ghee Bilona,500ml,Ghee
A2 Gir Cow Ghee Bilona,1 Litre,Ghee
Organic Coconut Oil Khopra Cold Pressed,1 LTR,Oil
Organic Coconut Oil Khopra Cold Pressed,500 ML,Oil
Organic Coconut Oil Khopra Cold Pressed,250 ML,Oil
Organic Black Mustard Oil Cold Pressed,500 ML,Oil
Organic Yellow Mustard Oil Cold Pressed,500 ML,Oil
Organic Peanut Groundnut Oil Cold Pressed,1 LTR,Oil
Organic Peanut Groundnut Oil Cold Pressed,5 LTR,Oil
Organic Black Sesame Oil Cold Pressed,250 ML,Oil
Organic White Sesame Oil Cold Pressed,250 ML,Oil
Organic Sunflower Oil Cold Pressed,1 LTR,Oil
Organic Castor Oil Cold Pressed,1 LTR,Oil
Organic Castor Oil Cold Pressed,500 ML,Oil
Organic Walnut Oil Cold Pressed,500 ML,Oil
Organic Almond Oil Cold Pressed,500 ML,Oil
